Type of System,Total Count,Percentage
"intensification, mature, decay, intensification 2, mature 2, decay 2",40,3.6101083032490973
"incipient, intensification, mature, decay",718,64.8014440433213
"incipient, intensification, mature, decay, residual",90,8.12274368231047
"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",48,4.332129963898916
intensification,43,3.8808664259927803
"intensification, mature, decay",43,3.8808664259927803
"decay, intensification, mature, decay 2",12,1.083032490974729
"intensification, mature, decay, residual",27,2.436823104693141
"incipient, intensification",1,0.09025270758122744
"incipient, intensification, decay, intensification 2, residual",2,0.18050541516245489
"incipient, decay, intensification, mature, decay 2",29,2.6173285198555956
"decay, intensification",6,0.5415162454873645
decay,9,0.8122743682310468
"decay, intensification, mature, decay 2, residual",5,0.45126353790613716
"incipient, intensification, decay, intensification 2",4,0.36101083032490977
"incipient, decay, intensification, mature, decay 2, residual",2,0.18050541516245489
"decay, intensification, decay 2",1,0.09025270758122744
"incipient, intensification, decay, intensification 2, mature, decay 2",9,0.8122743682310468
"intensification, mature, decay, intensification 2, mature 2, decay 2, residual",1,0.09025270758122744
"intensification, residual",5,0.45126353790613716
"incipient, decay, intensification",3,0.2707581227436823
"incipient, decay",4,0.36101083032490977
"intensification, decay",1,0.09025270758122744
"incipient, decay, intensification, residual",1,0.09025270758122744
"incipient, decay, intensification, decay 2",1,0.09025270758122744
"incipient, intensification, decay, intensification 2, decay 2",1,0.09025270758122744
"decay, residual",1,0.09025270758122744
"decay, intensification, decay 2, intensification 2",1,0.09025270758122744
